Disease ,Gender,Age,Sym1,Sym2,Sym3,Sym4,Sym5,Sym6,Sym7,Sym8,Sym9,Sym10,Sym11,Sym12,Sym13,Sym14,Sym15
Astrocytoma,both,five,kinetic dependent,Seizures,Behavioural changes,societal interactions,Disorientation,Loss of conscious proprioception,Cranial nerve abnormalities,,,,,,,,
Lipoma - Infiltrative ,female,ten,Large and diffuse and soft tissue mass,muscle swelling,Infiltration of pelvic and lateral cervical musculature,Coughing,,,,,,,,,,,
Nephrotic Syndrome ,both,ten,Pitting Subcutaneous edema,infectious,inflammatory,seeking,diagnostic imaging,dogs may develop acute dyspnea,Panting,Weakness,pericardial effusion,pulmonary edema,pulmonary thromboembolism,Dependent pitting,Subcutaneous edema,Ascites,Higher Active
Hookworms,both,common,Anemia,Pale gums,Weakness,Weight loss,Diarrhea,Itchy paws,Poor growth,Sudden death,Dry Coughing,,,,,,
OsteosarComa,both,five,Bone pain or tenderness,A mass that can be felt through the skin,Swelling and redness at the site of the tumor,Increased pain with lifting,Limping,Limited movement,Broken bone,,,,,,,,
Fears and Anxiety,both,five,Pacing,Posturing with flattened ears,Cowering and hiding,Hair raised on the back of the neck,Drooling,Trembling,Panting,Whining or whimpering,Yawning,Dilated pupils,Excessive grooming,Chronic,Chewing on objects,Incontinence of bowels or urine,Growling
Acute Respiratory distress Syndrome,both,common,Severe Respiratory distress,Crackles heard bilaterally on auscultation,Fever,Cyanosis,Coughing,,,,,,,,,,
Myopathy - Focal Inflammatory ,both,common,Masticatory,Chronic,inability to pick up a ball or get food into the mouth,acutely Swollen muscles,progressive Muscle atrophy,Extraocular Bilateral exophthalmos,marked jaw pain with manipulation and trismus,acute muscle swelling with exophthalmos,Muscle atrophy with enophthalmos,anesthesia,Bilateral exophthalmos,,,,
Diabetes Mellitus with Hyperosmolar Coma,female,ten,increased urination,Increased thirst,polyphagia,Weight loss,Weakness,Vomiting,Lack of appetite,Depression,stupor,Coma,Hypothermia,,,,
Leukemia - Chronic Lymphocytic ,both,common,often no clinical signs of illness,Lethargy,Decreased appetite,Weight loss,Lymphadenomegaly,Splenomegaly,Fever,Polydipsia and polyuria,,,,,,,
Trichinosis,both,common,Upset stomach,Vomiting,Diarrhea,Muscle pain,Stiffness,Muscle inflammation,,,,,,,,,
Bile Duct Carcinoma ,female,ten,Lethargy,Lack of appetite,Weight loss,Excessive urination,Excessive thirst,Vomiting,yellowing of skin eyes,Ascites or fluid accumulation,Anorexia,Polydipsia and polyuria,Icterus,Abdominal distension,,,
Chocolate Toxicosis ,both,common,Ingestion,chewed containers,Vomiting,increased activity,,,,,,,,,,,
Gastritis-Chronic,both,common,Abdominal pain,indigestion,Bloating,Nausea,Vomiting,Belching,Loss of Appetite,Weight loss,Diarrhea,,,,,,
Hypophosphatemia,both,common,Difficulty breathing,Uneven heart rate,Lethargy,Weakness,Muscle pain,Seizures,Weak bones,Lameness,,,,,,,
Insulinoma,both,common,Lack of coordination,Confusion,Lack of alertness,Changes in behavior,Weakness,Disturbance of vision,Muscle degeneration,Decrease in reflex of appendages,Seizures,Collapse,Coma,Death,,,
Rodenticide Toxicosis?Phosphides,both,common,Nausea,Vomiting,Shortness of breath,Diarrhea,Unwillingness to eat,Convulsions,Lethargy,Confusion,Paralysis,Collapse,Coma,Death,,,
Pyruvate Kinase Deficiency,both,common,Lethargy,Pale mucous membranes,Often Splenomegaly,Tachycardia,Systolic heart murmurs reported in dogs,Icterus is occasionally seen in cats but rarely seen in dogs,Weakness,Diarrhea,inappetence,poor coat quality and weight loss,,,,,
Whipworms,both,common,Range from Asymptomatic to severe,Intermittent large bowel diarrhea,Diarrhea,Weight loss,eggs detectable in feces,Chronic,,,,,,,,,
Campylobacteriosis ,both,ten,Diarrhea,bile streaked,Tenesmus,Fever,Anorexia,Vomiting,,,,,,,,,
Discospondylitis,both,common,Back pain,Neck Pain,reluctance to walk,Decreased appetite,Ataxia or paresis,Weight loss,Lack of appetitie,Lameness,Draining tracts,,,,,,
Physalopterosis,both,common,Vomiting,occasionally find worms in vomitus,Weight loss,occur without egg production,single worm,female-only infections,Possible Melena,,,,,,,,
Atrioventricular Valvular Stenosis,both,ten,Exercise intolerance,Syncope,Tachypnea,Coughing,Cyanosis,Abdominal distention,arterial thromboembolism,Stunted growth,Hemoptysis from rupture,,,,,,
Urethral Prolapse ,both,five,Bleeding of urination,persistent licking of the penis,Dysuria,doughnut-shaped mass protruding,Pale mucous membranes,self-induced Trauma from licking,Uroliths may be palpable,,,,,,,,
Vesicourachal Diverticula ,both,common,macroscopic vesicourachal diverticula,Hematuria,Dysuria,lower urinary,,,,,,,,,,,
Thrombocytopenia,both,common,Excessive bruising,Severe or prolonged blood loss,Fever,Lethargy,Heart murmur,Urinary Bleeding,Coughing,Excessive nasal mucus,Sudden collapse,,,,,,
Ventricular Septal Defect ,both,common,Usually Asymptomatic,dyspnea,Exercise intolerance,Syncope and Coughing,right hemithorax,pulmonic stenosis heard over the left heart base,A diastolic decrescendo murmur results if the VSD undermines anatomic support of the aortic valve,Regurgitation,right-to-left shunts,Split-second heart sound,Femoral pulses usually normal,,,,
Lymphomatoid Granulomatosis ,both,common,Coughing,Serous,Exercise intolerance,Weight loss,Anorexia,Fever,,,,,,,,,
Babesiosis ,both,common,Lethargy,Anorexia,pale mucous,membranes,fever,Splenomegaly,lymphadenomegaly,pigmenturia,Icterus,Weight loss,discolored stool,,,,
Cheyletiellosis ,both,common,Scaling,diffuse or plaque-like,walking dandruff,revalence varies by geographic region owing,low or no incidence of the mit,Lesions,Underlying skin irritation may be minimal,,,,,,,,
Anal Sac Disorders,both,common,Scooting,Licking or Biting their rear end,A bad smell,Constipation or pain when pooping,Perianal Pruritus,Hesitancy to defecate,Tenesmus,Tail chasing,Foul-smelling,non-feces anal discharge,Refusal to sit or lift tail,,,,
Cardiac Glycoside Plant Toxicosis ,both,common,Cardiac arrhythmias,Collapse,Decreased heart rate,Depression,Diarrhea,Drooling,Hyperkalemia,Increased heart rate,Loss of Appetite,Lethargy,Nausea,,,,
"ChondrosarComa, Bone ",both,common,visible mass at the affected site,Lameness,visible body wall anomaly,Fever,,,,,,,,,,,
Glycogen-Type Vacuolar Hepatopathy,both,common,Abdominal enlargement,Excessive thirst,Excessive urination,Hair loss,Increased appetite,Panting,Thin skin,Urinary tract infections,,,,,,,
Arthritis - Septic,male,five,Lameness,Lethargy,Anorexia,May report previous Trauma,Joint pain and swelling,Localized joint heat,Decreased range of motion,Local lymphadenopathy,Fever,,,,,,
Sick Sinus Syndrome,female,ten,Lethargy,Weakness,Syncope,Collapse,Seizures,Sudden death,,,,,,,,,
Cardiopulmonary Arrest ,both,common,Lack of response to stimulation,Loss of consciousness,Agonal gasping or absence of ventilation,Absence of peripheral pulses,Hypothermia,Absence of audible heart sounds,,,,,,,,,
Lower Urinary Tract Infection - Bacterial ,female,common,Pollakiuria,Dysuria,Hematuria,Stranguria,urgent need to urinate,urinating in inappropriate locations,Anorexia,Bladder wall thickening or crepitus,Stimulation of micturition,regardless of bladder urine volume,Pain reactions,,,,
Rhinitis and Sinusitis,both,common,Sneezing,Bad breath,Rubbing or pawing at the face,Facial pain or swelling,Lack of scent ability,Lack of appetite,Weight loss,Restlessness,Bilateral Nasal discharge,Unilateral,Open mouth breathing,Labored breathing,Sneezing,Coughing,Gagging
Hepatocellular Carcinoma,both,fifteen,Decreased appetite,Weight loss,Lethargy,Abdominal distention,Mass can be felt in the stomach,Vomiting,Excessive thirst,Frequent urination,Diarrhea,Jaundice,Ascites,Gastrointestinal Bleeding,Ulcers,Seizures,Coma
Vasculitis - Systemic ,both,common,Provocative drug given to sensitized animal,Recent vaccination history,Exposure to ticks,Poor dirofilariasis prophylaxis,Swelling,Ulceration,Necrosis of affected skin especially mucous membranes,mucocutaneous junctions,pinnae edges and footpads,reflecting organ involvement,Systemic signs of illness,lymphadenopathy,Pyrexia,vague signs of pain,fever
Ophthalmia Neonatorum ,both,common,Swollen eyelids,Red eyes,outward bulge,lost vision,Collapse,corneal adhesions,uicerated cornea,perforated cornea,mucoid discharge from eyelids,,,,,,
Joint Luxations ,both,common,Adjoining bone,Hip luxation is commonly cranio-dorsal,Shoulder luxation is commonly medial,Elbow luxation,Carpal and tarsal,hyperextension when stressed,Acute swelling,pain,non-use of the limb,Partial weight-bearing,,,,,
Herpesvirus Infection,both,common,Thick Nasal discharge,Upper respiratory infections,Loss of Appetite,Loss of body weight,Shallow breathing,Vomiting,Lethargy,Diarrhea,Pink eye,Lesions,Swelling,Brain inflammation,Dull or depressed behavior,Constant crying,Restlessness
Glycogen-Type Vacuolar Hepatopathy,both,common,Abdominal enlargement,Excessive thirst,Excessive urination,Hair loss,Increased appetite,Panting,Thin skin,Urinary tract infections,,,,,,,
Bilious Vomiting Syndrome ,both,ten,Frothy yellow vomit,Vomiting,Depression,Lethargy,Drooling,Licking his lips,Lack of appetite,Concentrated urine,,,,,,,
Amitraz Toxicosis,male,common,Depression,Weakness,Ataxia,Bradycardia,Vomiting,Hyperthermia,Hyperglycemia,Polyuria,Mydriasis,Gastrointestinal stasis,,,,,
Uterine Tumors ,both,common,discovered incidentally,vaginal discharge,pyometra,infertility,abdominal organ compression,,,,,,,,,,
Rabies,both,common,Disorientation,Incoordination,staggering may occur,caused by paralysis of the hind legs,Loss of Appetite,Weakness,Seizures,Sudden death,,,,,,,
Bronchitis - Chronic ,both,ten,Coughing,hallmark of tracheobronchial irritation,harsh and dry,post-tussive Gagging common,Exercise intolerance,Difficult breathing,Cyanosis,,,,,,,,
Prolapsed Gland of the Third Eyelid ,both,five,Oval,hyperemic mass,Unilateral,May see accompanying epiphora,Blepharospasm,swelling,,,,,,,,,
Adenocarcinoma - Lung,both,ten,Difficulty breathing,Rapid breathing,Extreme tiredness,Weakness,Loss of Appetite,Weight loss,Vomiting,Bloody,Fever,Muscle pain and Weakness,,,,,
Nephrotic Syndrome ,both,ten,Pitting Subcutaneous edema,infectious,inflammatory,seeking,diagnostic imaging,dogs may develop acute dyspnea,Panting,Weakness,pericardial effusion,pulmonary edema,pulmonary thromboembolism,Dependent pitting,Subcutaneous edema,Ascites,Higher Active
West Nile Virus Infection ,both,common,Incoordination,Incubation,Febrile response,Post-infection,In the rarely affected dogs,common signs are ataxia,Depression,Anorexia,Tremors,conscious proprioceptive deficits,Seizures,Weakness,flaccid paralysis,,
Nephrotoxicity - Drug-Induced ,both,fifteen,Polyuria and Polydipsia,sometimes Oliguria,Inappetence,Depression,Vomiting,Diarrhea,Dehydration,Oral ulcers,Uremic Halitosis,,,,,,
Aspergillosis - Systemic ,both,five,fever,Lameness,swelling,Neurologic,fungal discospondylitis causing paraparesis,paraplegia,spinal pain,Seizures,hemiparesismental dullness,ataxia,vision impairment,circling,polyuria,Hematuria,Coughing
Benzodiazepine and Other Sleep Aids Toxicosis ,both,common,Therapeutic use of drug,Lethargy,Ataxia,Sedation,Agitation,Depression,Ataxia,Sedation,Hypothermia,Agitation,Hyperthermia,Tachycardia,,,
Baylisascariasis ,both,common,Intestinal form-none,Weakness,ataxia,dysphagia,circling,recumbency,,,,,,,,,
Sick Sinus Syndrome,female,ten,Lethargy,Weakness,Syncope,Collapse,Seizures,Sudden death,,,,,,,,,
Dermatoses-Vesiculopustular,both,common,Areas of blistering skin,resembling pimples,Severe sores and Ulceration,Scabs,Flaking skin,Scaling,Loss of pigment in the nose,Patches of reddened skin,Hair loss,Blistering,Blistering in the junction around the mouth,,,,
Elbow Dysplasia,male,five,Limping,Stiffness,Less enthusiasm to go for walks or play,elbows held at a strange angle,Swollen and puffy elbows,Pain,,,,,,,,,
 Atopic Dermatitis,both,five,Lesions,Erythema,Papules,Alopecia,hyperpigmentation,Lichenification,dry seborrhea and hyperhidrotic,apocrine sweating,Secondary bacterial and yeast skin infections,Chronic,Conjunctivitis,Blepharitis,Rhinitis,,
Lactic Acidosis,both,common,attempted respiratory compensation,Dehydration,dark mucous membranes,increased skin turgor,Severely acidotic,,,,,,,,,,
Encephalitis Secondary to Parasitic Migration,both,five,Depression,Staggering,Walking around in circles,Head tilting,Head pressing,Loss of muscle movement in the face,Dizziness,Weakness,,,,,,,
Spider Venom Toxicosis?Black Widow,both,common,Blood pressure changes,Cramping,Death,Diarrhea,Drooling,Drunken gait,Labored breathing,Weakness,Loss of coordination,Muscle rigidity,Paralysis,Restlessness,Seizures,Severe muscle pain,Tremors
Ovarian Tumors,both,common,vulvar enlargement,vaginal discharge,persistent estrus (menstruation and heat),pyometra (pus in the uterus),Lethargy,Lack of appetite,Weight loss,thinning of the haircoat,,,,,,,
Insoluble Oxalate Plant Toxicosis,both,common,Hypersalivation,Oral pain,Hoarse barking,Vomiting,Lack of appetite,Difficulty breathing,,,,,,,,,
Small Intestinal Dysbiosis,both,five,Gas,Bloating,Diarrhea,Abdominal pain,Bad breath,Hyperactivity,Bladder infections,Weight loss,Gum disease,Immune system disorders,Respiratory illnesses such as asthma,Allergies,Joint pain,Gastrointestinal cancer,
Demodicosis,both,common,Hair loss in patches,Rubbing their face or head,Redness or inflammation of the skin,Excessive oil on the skin,Crusting on the skin,Paws that are swelling,,,,,,,,,
Cyclic Hematopoiesis ,both,common,Weakness,Failure to thrive,Conjunctivitis,Gingivitis,Diarrhea,Pneumonia,Skin infections,Carpal Joint pain,,,,,,,
Encephalitis Secondary to Parasitic Migration,both,five,Depression,Staggering,Walking around in circles,Head tilting,Head pressing,Loss of muscle movement in the face,Dizziness,Weakness,,,,,,,
Neuroaxonal Dystrophy ,both,five,Cerebellar ataxia,progressive dysmetria,Strength and proprioception normal in most cases,exhibit proprioceptive deficits,Loss of menace responses,brainstem involvement,including loss of swallowing reflex,tetraplegia may develop in the final stages,Mild intention tremor,,,,,,
Shock-Hypovolemic,both,common,Weakness,Cool feet,Poor pulse,Very low blood pressure,Lethargy,Hyperventilation,Respiratory failure,Hemorrhage,,,,,,,
Babesiosis ,both,common,Lethargy,Anorexia,pale mucous,membranes,fever,Splenomegaly,lymphadenomegaly,pigmenturia,Icterus,Weight loss,discolored stool,,,,
Adenocarcinoma - Pancreas,both,ten,fever,Vomiting,Weakness,Anorexia,Icterus,malabsorption syndrome,Weight loss,Abdominal pain,Abdominal effusion,,,,,,
Head Pressing,both,common,head against stable objects,ExhiBiting reduced reflexes,Compulsive Pacing,excessive Pacing,Seizures,Strong changes in behavior,Visual problems,,,,,,,,
Dermatoses-Vesiculopustular,both,common,Areas of blistering skin,resembling pimples,Severe sores and Ulceration,Scabs,Flaking skin,Scaling,Loss of pigment in the nose,Patches of reddened skin,Hair loss,Blistering,Blistering in the junction around the mouth,,,,
Anemia of Chronic Kidney Disease,both,common,Weight loss,Poor appetite,Lethargy,Lack of stamina,Weakness,Rapid heart rate,Rapid breathing,Paleness of mucus membranes,Blood in the stool,Excessive drinking and urination,,,,,
Mammary Gland Tumors ,both,fifteen,Caudal mammary glands,Discrete,well-circumscribed mass in systemically healthy patient,Inflammatory carcinoma,diffuse edematous,Warm,painful mammary chains,Inflammatory carcinoma,,,,,,,
Gastritis-Atrophic,male,common,Stomach pain,Dehydration,Diarrhea,An increase in thirst,Appearing lethargic,Disinterest in food,Vomiting,Weakness,Losing weight,Lack of appetite,,,,,
Legg-Calve-Perthes,both,five,Lameness,weight-bearing occasionally leg is carried,Pain on manipulation of the hip,Crepitation of the joint,Atrophy of the thigh muscles,,,,,,,,,,
Hepatic Amyloid,both,common,Fever,Swollen hocks,Joint inflammation,Joint pain,Lack of energy,Loss of Appetite,Abdominal discomfort,Swelling,Buildup of abdominal fluid,Vomiting,Excessive thirst,Excessive urination,,,
Tick Bite Paralysis,both,common,Heavy breathing,Coughing,Vomiting,Heavy salivation,Wobbly legs,Collapse,,,,,,,,,
Vascular Ring Anomalies ,both,common,Stunted growth,Malnourishment in many animals,Regurgitation,Signs of aspiration pneumonia,Coughing,tachypnea,dyspnea,,,,,,,,
Spider Venom Toxicosis?Black Widow,both,common,Blood pressure changes,Cramping,Death,Diarrhea,Drooling,Drunken gait,Labored breathing,Weakness,Loss of coordination,Muscle rigidity,Paralysis,Restlessness,Seizures,Severe muscle pain,Tremors
